epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,388.292,0.44142,0.78563,0.77238,0.00727,0.3038,0.00925,0.00584,0.43774,3.26032,0.76556,0.000487162,0.000487162,0.000487162
43,396.64,0.44552,0.81553,0.7901,0.00697,0.29114,0.01007,0.0059,0.43668,3.26032,0.75877,0.000490728,0.000490728,0.000490728
44,407.67,0.44271,0.86318,0.82163,0.00697,0.29114,0.01007,0.0059,0.43668,3.26032,0.75877,0.000493898,0.000493898,0.000493898
45,416.672,0.4091,0.79315,0.82118,0.00697,0.29114,0.01283,0.00638,0.42872,3.26085,0.7612,0.000496672,0.000496672,0.000496672
46,426.62,0.40665,0.81998,0.8013,0.00697,0.29114,0.01283,0.00638,0.42872,3.26085,0.7612,0.00049905,0.00049905,0.00049905
47,435.771,0.43149,0.96536,0.82667,0.00697,0.29114,0.01473,0.00648,0.44416,3.23604,0.76452,0.000501032,0.000501032,0.000501032
48,444.139,0.38501,1.06927,0.77142,0.00697,0.29114,0.01473,0.00648,0.44416,3.23604,0.76452,0.000502618,0.000502618,0.000502618
49,452.679,0.43379,0.88988,0.79074,0.00485,0.20253,0.01055,0.00702,0.42728,3.18528,0.76108,0.000503808,0.000503808,0.000503808
50,461.393,0.48659,0.78634,0.76803,0.00485,0.20253,0.01055,0.00702,0.42728,3.18528,0.76108,0.000504602,0.000504602,0.000504602
51,469.716,0.54454,0.9547,0.78234,0.00515,0.21519,0.01469,0.01165,0.43451,3.16865,0.76169,0.000505,0.000505,0.000505
52,478.559,0.4879,0.89796,0.78269,0.00515,0.21519,0.01469,0.01165,0.43451,3.16865,0.76169,0.000505002,0.000505002,0.000505002
53,487.044,0.49631,1.09065,0.8173,0.00515,0.21519,0.01469,0.01165,0.43451,3.16865,0.76169,0.000504608,0.000504608,0.000504608
54,495.482,0.54586,1.00172,0.81342,0.00515,0.21519,0.06731,0.0606,0.40991,3.14405,0.75414,0.000503818,0.000503818,0.000503818
55,503.968,0.40516,0.96348,0.79826,0.00515,0.21519,0.06731,0.0606,0.40991,3.14405,0.75414,0.000502632,0.000502632,0.000502632
56,512.922,0.49769,1.00638,0.79727,0.00515,0.21519,0.06731,0.0606,0.40991,3.14405,0.75414,0.00050105,0.00050105,0.00050105
57,521.811,0.45373,1.02523,0.74723,0.01504,0.18987,0.11412,0.10017,0.38941,3.06517,0.76289,0.000499072,0.000499072,0.000499072
58,530.252,0.43377,0.78486,0.74609,0.01504,0.18987,0.11412,0.10017,0.38941,3.06517,0.76289,0.000496698,0.000496698,0.000496698
59,538.967,0.43391,0.84392,0.80161,0.01504,0.18987,0.11412,0.10017,0.38941,3.06517,0.76289,0.000493928,0.000493928,0.000493928
60,548.328,0.35714,0.82637,0.78916,1,0.08925,0.13798,0.12218,0.41835,2.92068,0.78691,0.000490762,0.000490762,0.000490762
61,556.786,0.45733,0.73367,0.81979,1,0.08925,0.13798,0.12218,0.41835,2.92068,0.78691,0.0004872,0.0004872,0.0004872
62,565.285,0.40456,0.77864,0.80154,1,0.08925,0.13798,0.12218,0.41835,2.92068,0.78691,0.000483242,0.000483242,0.000483242
63,574.021,0.36354,0.70883,0.80791,1,0.06158,0.14152,0.12059,0.43712,2.84171,0.78716,0.000478888,0.000478888,0.000478888
64,582.718,0.43631,0.81089,0.794,1,0.06158,0.14152,0.12059,0.43712,2.84171,0.78716,0.000474138,0.000474138,0.000474138
65,592.016,0.46252,0.82252,0.81678,1,0.06158,0.14152,0.12059,0.43712,2.84171,0.78716,0.000468992,0.000468992,0.000468992
66,600.493,0.36651,0.90849,0.76891,1,0.06314,0.12409,0.10449,0.45659,2.85353,0.79636,0.00046345,0.00046345,0.00046345
67,609.21,0.44702,0.94948,0.8274,1,0.06314,0.12409,0.10449,0.45659,2.85353,0.79636,0.000457512,0.000457512,0.000457512
68,617.734,0.34544,0.77987,0.79918,1,0.06314,0.12409,0.10449,0.45659,2.85353,0.79636,0.000451178,0.000451178,0.000451178
69,626.978,0.39391,0.75638,0.81281,0.85406,0.07431,0.11894,0.10315,0.39988,2.91675,0.78799,0.000444448,0.000444448,0.000444448
70,635.336,0.40666,0.83325,0.76341,0.85406,0.07431,0.11894,0.10315,0.39988,2.91675,0.78799,0.000437322,0.000437322,0.000437322
71,643.919,0.41464,0.70601,0.83444,0.85406,0.07431,0.11894,0.10315,0.39988,2.91675,0.78799,0.0004298,0.0004298,0.0004298
72,652.78,0.35904,0.8363,0.79286,0.87905,0.0923,0.14397,0.12476,0.38616,2.89812,0.78721,0.000421882,0.000421882,0.000421882
73,662.097,0.34042,0.89708,0.80018,0.87905,0.0923,0.14397,0.12476,0.38616,2.89812,0.78721,0.000413568,0.000413568,0.000413568
74,672.168,0.50584,0.95959,0.85677,0.87905,0.0923,0.14397,0.12476,0.38616,2.89812,0.78721,0.000404858,0.000404858,0.000404858
75,682.848,0.36218,0.69984,0.77187,1,0.10723,0.16799,0.13928,0.37484,2.73781,0.78705,0.000395752,0.000395752,0.000395752
76,693.022,0.34811,0.6902,0.78081,1,0.10723,0.16799,0.13928,0.37484,2.73781,0.78705,0.00038625,0.00038625,0.00038625
77,702.86,0.3425,0.84893,0.81637,1,0.10723,0.16799,0.13928,0.37484,2.73781,0.78705,0.000376352,0.000376352,0.000376352
78,713.628,0.37446,0.67528,0.82091,1,0.12055,0.17233,0.14367,0.34647,2.48629,0.77516,0.000366058,0.000366058,0.000366058
79,723.728,0.31469,0.6633,0.80324,1,0.12055,0.17233,0.14367,0.34647,2.48629,0.77516,0.000355368,0.000355368,0.000355368
80,733.913,0.32798,0.68139,0.78206,1,0.12055,0.17233,0.14367,0.34647,2.48629,0.77516,0.000344282,0.000344282,0.000344282
81,744.351,0.3999,0.8272,0.80176,1,0.13342,0.17782,0.14712,0.31307,2.33016,0.78135,0.0003328,0.0003328,0.0003328
82,754.817,0.29646,0.97027,0.78442,1,0.13342,0.17782,0.14712,0.31307,2.33016,0.78135,0.000320922,0.000320922,0.000320922
83,765.329,0.32915,0.59426,0.75573,1,0.13342,0.17782,0.14712,0.31307,2.33016,0.78135,0.000308648,0.000308648,0.000308648
84,776.197,0.33005,0.62232,0.75436,0.99258,0.13924,0.20712,0.15278,0.3049,2.23417,0.77722,0.000295978,0.000295978,0.000295978
85,787.298,0.32376,0.7128,0.75615,0.99258,0.13924,0.20712,0.15278,0.3049,2.23417,0.77722,0.000282912,0.000282912,0.000282912
86,797.637,0.32393,0.73231,0.80683,0.99258,0.13924,0.20712,0.15278,0.3049,2.23417,0.77722,0.00026945,0.00026945,0.00026945
